,company,href,id,name,location.city,location.country,location.latitude,location.longitude,source,gbfs_href,license.name,license.url,ebikes,manhattan_from_coit
30,"['PBSC', 'Alta Bicycle Share, Inc']",/v2/networks/we-cycle,we-cycle,WE-cycle,"Aspen, CO",US,39.194951,-106.837002,,https://asp.publicbikesystem.net/ube/gbfs/v1/gbfs.json,,,,16.96106300000001
85,"['Clean Energy Coalition', 'BCycle, LLC']",/v2/networks/arborbike,arborbike,ArborBike,"Ann Arbor, MI",US,42.27853,-83.74536,,https://gbfs.bcycle.com/bcycle_arborbike/gbfs.json,,,,43.136284
88,"['BCycle, LLC']",/v2/networks/austin,austin,Austin B-cycle,"Austin, TX",US,30.26408,-97.74355,,https://gbfs.bcycle.com/bcycle_austin/gbfs.json,,,,32.200978
89,"['Motivate International, Inc', 'PBSC']",/v2/networks/bike-chattanooga,bike-chattanooga,Bike Chattanooga,"Chattanooga, TN",US,35.0456297,-85.3096801,,https://chat.publicbikesystem.net/ube/gbfs/v1/,,,True,39.853298200000005
92,"['Portland Bureau of Transportation (PBOT)', 'Lyft Inc.']",/v2/networks/biketown,biketown,BIKETOWN,"Portland, OR",US,45.52175423291714,-122.68107935786247,,https://gbfs.biketownpdx.com/gbfs/gbfs.json,,,,7.994225590779614
94,"['CycleHop, LLC', 'Social Bicycles Inc.']",/v2/networks/britebikes,britebikes,BRiteBikes,"San Ramon, CA",US,37.759444753878,-121.955134881881,,http://britebikes.socialbicycles.com/opendata/gbfs.json,,,,0.4940283642410037
95,"['ValleyRide', 'Social Bicycles Inc.']",/v2/networks/boise-greenbike,boise-greenbike,Boise GreenBike,"Boise, ID",US,43.6153060610528,-116.201761349309,,http://boise.greenbike.com/opendata/gbfs.json,,,,12.016658711743808
96,"['BCycle, LLC']",/v2/networks/boulder,boulder,Boulder B-cycle,"Boulder, CO",US,40.00811,-105.26385,,https://gbfs.bcycle.com/bcycle_boulder/gbfs.json,,,,19.347374000000002
97,"['CycleHop, LLC', 'Social Bicycles Inc.']",/v2/networks/breeze-bike-share,breeze-bike-share,Breeze Bike Share,"Santa Monica, CA",US,34.01780925008178,-118.4965717792511,,http://santamonicabikeshare.com/opendata/gbfs.json,,,,7.694226970667117
99,"['BCycle, LLC']",/v2/networks/broward,broward,Broward B-cycle,"Fort Lauderdale, FL",US,26.12026,-80.14819,,https://gbfs.bcycle.com/bcycle_broward/gbfs.json,,,,53.940158
100,"['BCycle, LLC']",/v2/networks/bublr-bikes,bublr-bikes,Bublr Bikes,"Milwaukee, WI",US,43.0369,-87.89667,,https://gbfs.bcycle.com/bcycle_bublr/gbfs.json,,,,39.74334400000001
101,"['Shared Mobility Inc.', 'Social Bicycles Inc.']",/v2/networks/reddy-bike-share,reddy-bike-share,Reddy Bike Share,"Buffalo, NY",US,42.89373841865211,-78.8718044757843,,https://reddybikeshare.socialbicycles.com/opendata/gbfs.json,,,,48.625047942867816
102,"['Motivate International, Inc.', 'PBSC Urban Solutions']",/v2/networks/capital-bikeshare,capital-bikeshare,Capital BikeShare,"Washington, DC",US,38.8967584,-77.03701629999999,,https://gbfs.capitalbikeshare.com/gbfs/gbfs.json,,,True,46.46285610000002
103,"['BCycle, LLC']",/v2/networks/charlotte,charlotte,Charlotte B-cycle,"Charlotte, NC",US,35.22716,-80.83855,,https://gbfs.bcycle.com/bcycle_charlotte/gbfs.json,,,,44.142898
105,"['BCycle, LLC']",/v2/networks/cincy-red-bike,cincy-red-bike,Cincy Red Bike,"Cincinnati, OH",US,39.10138,-84.51217,,https://gbfs.bcycle.com/bcycle_cincyredbike/gbfs.json,,,,39.192324000000006
107,"['NYC Bike Share, LLC', 'Motivate International, Inc.', 'PBSC Urban Solutions']",/v2/networks/citi-bike-nyc,citi-bike-nyc,Citi Bike,"New York, NY",US,40.7143528,-74.00597309999999,,https://gbfs.citibikenyc.com/gbfs/gbfs.json,,,True,51.311493700000014
108,"['CycleHop, LLC']",/v2/networks/coast-bike-share,coast-bike-share,Coast Bike Share,"Tampa, FL",US,27.9627193250593,-82.438056400783,,https://gbfs.hopr.city/api/gbfs/8/,,,,49.807832274157704
110,"['Motivate International, Inc.', 'PBSC Urban Solutions']",/v2/networks/cogo,cogo,CoGo,"Columbus, OH",US,39.983333,-82.983333,,https://gbfs.cogobikeshare.com/gbfs/gbfs.json,,,True,41.603114000000005
111,"['BCycle, LLC']",/v2/networks/denver,denver,Denver B-cycle,"Denver, CO",US,39.72055,-104.95253,,https://gbfs.bcycle.com/bcycle_denver/gbfs.json,,,,19.371134000000012
112,"['Motivate International, Inc.', 'PBSC Urban Solutions']",/v2/networks/divvy,divvy,Divvy,"Chicago, IL",US,41.8781136,-87.6297982,,https://gbfs.divvybikes.com/gbfs/gbfs.json,,,True,38.85142940000001
114,"['BCycle, LLC']",/v2/networks/elpaso,elpaso,El Paso B-cycle,"El Paso, TX",US,31.76148,-106.48507,,https://gbfs.bcycle.com/bcycle_elpaso/gbfs.json,,,,21.962058000000006
115,"['BCycle, LLC']",/v2/networks/fortworth,fortworth,Fort Worth Bike Sharing,"Fort Worth, TX",US,32.7516,-97.32888,,https://gbfs.bcycle.com/bcycle_fortworth/gbfs.json,,,,30.128127999999997
117,"['BCycle, LLC']",/v2/networks/greatrides,greatrides,Great Rides Bike Share,"Fargo, ND",US,46.89248,-96.80095,,https://gbfs.bcycle.com/bcycle_greatrides/gbfs.json,,,,34.694644000000004
118,"['BCycle, LLC']",/v2/networks/greenbikeslc,greenbikeslc,GREENbike,Salt Lake City,US,40.76745,-111.88736,,https://gbfs.bcycle.com/bcycle_greenbikeslc/gbfs.json,,,,13.483204
119,"['CycleHop, LLC', 'Social Bicycles Inc.']",/v2/networks/grid-bike-share,grid-bike-share,Grid Bike Share,"Phoenix, AZ",US,33.4591031356657,-112.074010667085,,https://grid.socialbicycles.com/opendata/gbfs.json,,,,14.675494197249293
120,"['BCycle, LLC']",/v2/networks/omaha,omaha,Heartland B-cycle,"Omaha, NE",US,41.25832,-96.00853,,https://gbfs.bcycle.com/bcycle_heartland/gbfs.json,,,,29.85290400000001
121,"['BCycle, LLC']",/v2/networks/houston,houston,Houston B-cycle,"Houston, TX",US,29.75983,-95.36949,,https://gbfs.bcycle.com/bcycle_houston/gbfs.json,,,,35.079288
